index,SEP_onset_time,ln_peak_intensity,peak_intensity,target,CME_DONKI_time,CME_DONKI_latitude,CME_DONKI_longitude,CME_DONKI_speed,CME_CDAW_time,CME_CDAW_MPA,CME_CDAW_LinearSpeed,VlogV,DONKI_half_width,Accelaration,2nd_order_speed_final,2nd_order_speed_20R,CPA,Halo,daily_sunspots,Type2_Viz_Area,solar_wind_speed,CMEs_in_past_month,CMEs_in_past_9hours,CMEs_with_speed_over_1000_in_past_9hours,max_CME_speed_in_past_day,diffusive_shock,connection_angle_degrees,half_richardson_value
27,,-1.609437912,0.2,0,11/8/2010 21:08,25,-72,600,11/8/2010 20:24,44,470,2891.784367,20,4.4,548,513,35,0,37,0,341.5,8,1,0,600,1.92E-30,-133.2487056,-4.801302741
28,,-1.609437912,0.2,0,11/11/2010 17:00,-22,-7,877,11/11/2010 17:00,140,419,2529.867915,25,-6.8,355,271,50,0,51,0,431.2,8,1,0,877,2.36E-12,-62.51824742,-1.056931114
29,,-1.609437912,0.2,0,11/26/2010 7:30,-30,-151,576,11/26/2010 7:36,157,416,2508.765068,28,-3.8,363,357,140,0,14,0,371.4,5,1,0,576,9.15E-31,136.77677,-5.058919636
30,,-1.609437912,0.2,0,12/5/2010 1:00,-5,106,740,12/5/2010 0:12,268,278,1564.47867,30,2.2,332,322,260,0,44,0,284.2,4,1,0,740,5.77E-17,25.81247679,-0.180174137
31,,-1.609437912,0.2,0,12/6/2010 18:30,-35,-63,630,12/6/2010 17:24,129,538,3382.867905,37,14.7,795,676,125,0,29,0,329.8,5,1,0,630,4.66E-30,-123.5966366,-4.130916325
32,,-1.609437912,0.2,0,12/7/2010 9:24,5,60,350,12/7/2010 7:12,276,203,1078.580814,28,5.6,369,366,265,0,31,0,351,6,1,0,630,1.02E-34,-7.278614167,-0.014326183
33,,-1.609437912,0.2,0,12/12/2010 5:00,-10,50,750,12/12/2010 5:00,36,485,2999.312212,38,9.2,655,579,21,0,27,0,322.7,5,1,0,750,2.47E-16,-23.18206319,-0.145323973
34,,-1.609437912,0.2,0,12/12/2010 7:00,44,-24,400,12/12/2010 6:00,113,417,2515.796954,21,6.1,531,494,93,0,27,0,322.2,6,2,0,750,1.19E-33,-93.68977477,-2.37365438
35,,-1.609437912,0.2,0,12/16/2010 9:12,42,45,480,12/16/2010 8:48,333,580,3690.5563,15,0.8,590,588,321,0,24,0,519,7,1,0,480,3.31E-32,42.0068406,-0.477169999
36,,-1.609437912,0.2,0,12/23/2010 5:24,-13,30,305,12/23/2010 5:00,226,286,1617.613658,32,7.2,449,439,241,0,17,0,310.5,8,1,0,305,8.11E-36,-45.32313091,-0.555485721
37,,-1.609437912,0.2,0,12/24/2010 5:48,3,73,500,12/24/2010 5:00,261,190,996.9345737,28,2,237,266,263,0,14,0,315.2,9,1,0,500,6.97E-32,3.013738505,-0.00245609
38,,-1.609437912,0.2,0,1/2/2011 18:00,2,119,300,1/2/2011 15:24,262,355,2084.601815,35,21,610,724,268,0,48,0,354.5,9,1,0,300,5.98E-36,54.37352658,-0.799480907
39,,-1.609437912,0.2,0,1/8/2011 5:48,-15,-64,350,1/8/2011 7:12,243,220,1186.59806,20,-29.6,116,0,237,0,25,0,614.2,7,1,0,350,1.02E-34,-100.9247566,-2.754409545
40,,-1.609437912,0.2,0,1/12/2011 10:00,-13,125,650,1/12/2011 11:00,67,245,1347.808262,35,17.8,301,682,66,0,22,0,495.3,6,1,0,650,8.22E-30,79.01968014,-1.688509965
41,,-1.609437912,0.2,0,1/13/2011 9:00,16,-125,680,1/13/2011 9:36,51,664,4314.859347,42,2.2,693,675,79,0,13,625000,455,7,1,0,680,4.08E-24,-163.3607557,-7.216532314
42,,-1.609437912,0.2,0,1/14/2011 3:00,12,-101,650,1/14/2011 3:12,65,625,4023.594781,39,7.1,717,684,83,0,0,0,523.3,8,1,0,680,8.22E-30,-143.0593603,-5.534337633
43,,-1.609437912,0.2,0,1/16/2011 14:12,25,-80,350,1/16/2011 12:36,54,163,830.2812827,39,9.7,334,486,61,0,20,0,454.5,8,1,0,350,1.02E-34,-125.9952584,-4.292808315
44,,-1.609437912,0.2,0,1/23/2011 1:00,23,117,564,1/23/2011 0:48,297,448,2734.947368,35,5.8,537,522,302,0,33,0,368.5,8,1,0,564,6.24E-31,57.95759923,-0.908351354
45,,-1.609437912,0.2,0,1/24/2011 3:00,-7,40,510,1/24/2011 2:00,256,258,1432.663573,25,6.8,419,417,260,0,29,0,363,8,1,0,510,1.00E-31,-24.11750829,-0.157288861
46,1/28/2011 1:39,0.888302695,2.431,0,1/28/2011 1:25,36,123,600,1/28/2011 1:25,290,606,3882.569272,27,-20.9,456,259,288,0,13,0,305.3,9,1,0,600,1.92E-30,57.17498406,-0.883985614
47,2/15/2011 6:35,0.941529537,2.5639,0,2/15/2011 2:25,-20,15,920,2/15/2011 2:24,189,669,4352.369536,35,-18.3,508,471,360,1,83,4524000,432.7,5,1,0,920,9.50E-12,-42.19887646,-0.481542773
48,,-1.609437912,0.2,0,2/16/2011 2:36,30,-40,560,2/16/2011 2:36,35,411,2473.641811,30,5.1,497,482,51,0,78,0,442.5,5,1,0,560,5.48E-31,-91.55380832,-2.266657603
49,,-1.609437912,0.2,0,2/24/2011 8:00,-18,-100,900,2/24/2011 7:48,96,1186,8394.913113,22,-22.4,1035,1117,70,0,24,42000,350.2,4,1,0,900,5.24E-12,-157.0044999,-6.665876959
