solar_wind_speed_norm,connection_angle_degrees_norm,VlogV_norm,CME_DONKI_speed_norm,CME_DONKI_latitude_norm,CME_DONKI_longitude_norm,CME_CDAW_MPA_norm,CME_CDAW_LinearSpeed_norm,DONKI_half_width_norm,Accelaration_norm,2nd_order_speed_final_norm,2nd_order_speed_20R_norm,CPA_norm,daily_sunspots_norm,CMEs_in_past_month_norm,CMEs_in_past_9hours_norm,CMEs_with_speed_over_1000_in_past_9hours_norm,max_CME_speed_in_past_day_norm,log_richardson_value_norm,log_diffusive_shock_norm,log_Type2_Viz_Area_norm,Halo,ln_peak_intensity
0.1312444046553268,0.1533015599208087,0.12981406426324668,0.20802919708029197,0.29775280898876405,0.325,0.35833333333333334,0.16321326107746253,0.367816091954023,0.26773142797099925,0.25728155339805825,0.1813304721030043,0.3472222222222222,0.1457286432160804,0.05194805194805195,0.0,0.0,0.1977818853974122,0.7250619583285234,1.792307694637692e-21,0.0,0,-1.609437912
0.5801253357206804,0.6986402688902148,0.19088899709636845,0.22627737226277372,0.7696629213483146,0.7666666666666667,0.8583333333333333,0.2295186483901817,0.45977011494252873,0.26058631921824105,0.26407766990291265,0.21620171673819744,0.8611111111111112,0.7286432160804021,0.2077922077922078,0.0,0.0,0.21626617375231053,0.3651675927017204,1.5692307712707689e-15,0.0,0,-1.609437912
0.17672336615935538,0.608725891290877,0.15415484371733007,0.19927007299270072,0.6966292134831461,0.7055555555555556,0.8444444444444444,0.18999043672298374,0.40229885057471265,0.26804665335715033,0.26537216828478966,0.19822961373390557,0.8555555555555555,0.5728643216080402,0.15584415584415584,0.0,0.0,0.188909426987061,0.13984740096782805,8.846153857653845e-22,0.0,0,-1.609437912
0.3029543419874664,0.3510471608860777,0.17478338221322198,0.34306569343065696,0.4943820224719101,0.5,0.08055555555555556,0.21230474976091807,0.40229885057471265,0.247662078386046,0.21003236245954693,0.17542918454935622,0.058333333333333334,0.2562814070351759,0.23376623376623376,0.25,0.0,0.3345656192236599,0.2564480185644291,0.020730769257160536,0.0,0,-1.609437912
0.2760966875559534,0.07801751345969157,0.0682535928096229,0.14525547445255474,0.6404494382022472,0.19722222222222222,0.13055555555555556,0.09244501115715652,0.3103448275862069,0.24104234527687296,0.07346278317152104,0.0,0.1527777777777778,0.7135678391959799,0.2597402597402597,0.25,0.0,0.20147874306839186,0.868935574230371,5.4230769301269225e-24,0.0,0,-1.609437912
0.049597135183527284,0.5768350132585127,0.058243041799302,0.24817518248175183,0.46629213483146065,0.7944444444444444,0.7444444444444445,0.08033152693656359,0.28735632183908044,0.25459703688137014,0.10744336569579288,0.08637339055793991,0.7222222222222222,0.22110552763819097,0.03896103896103896,0.0,0.0,0.23844731977818853,0.07322355552247584,2.219230772115769e-08,0.0,0,-1.609437912
0.11763652641002684,0.23807922964896092,0.09568652252609221,0.12408759124087591,0.7415730337078652,0.43333333333333335,0.3138888888888889,0.12464137711189034,0.1839080459770115,0.2586949669013344,0.17184466019417477,0.13251072961373392,0.25833333333333336,0.135678391959799,0.06493506493506493,0.25,0.0,0.24214417744916822,0.5390904705415956,4.5769230828730765e-25,0.0,0,-1.609437912
0.306177260519248,0.686888988981447,0.07709397165372055,0.16058394160583941,0.5898876404494382,0.825,0.8194444444444444,0.10296461587503984,0.28735632183908044,0.25858989177261743,0.15566343042071198,0.11668454935622317,0.8166666666666667,0.12562814070351758,0.0,0.0,0.0,0.14972273567467653,0.33506490943120754,2.68076923425423e-23,0.0,0,-1.609437912
0.1674127126230976,0.3745141009631404,0.2542771097808371,0.12408759124087591,0.5112359550561798,0.5555555555555556,0.7833333333333333,0.29582403570290083,0.5172413793103449,0.1454239781443732,0.23009708737864076,0.0,0.8222222222222222,0.2914572864321608,0.09090909090909091,0.0,0.0,0.11275415896487985,0.19735294657016142,4.5769230828730765e-25,0.0,0,-1.609437912
0.23867502238137872,0.27835913647617344,0.1102037396384833,0.12773722627737227,0.6067415730337079,0.4444444444444444,0.13055555555555556,0.14121772394007012,0.3448275862068966,0.26363349795103497,0.2064724919093851,0.15799356223175964,0.18055555555555555,0.08040201005025126,0.09090909090909091,0.0,0.0,0.11645101663585952,0.44164760001578285,7.153846163146153e-25,0.0,0,-1.609437912
0.20823634735899735,0.9004068372936459,0.06507183906407732,0.10218978102189781,0.6741573033707865,0.1,0.775,0.08861970035065349,0.28735632183908044,0.25133970789114213,0.09611650485436893,0.07349785407725322,0.7472222222222222,0.2864321608040201,0.07792207792207792,0.0,0.0,0.09057301293900184,0.8158948340958866,2.3115384645434588e-26,0.0,0,-1.609437912
0.1561324977618621,0.18848210088162742,0.566299625457079,0.5281021897810219,0.5617977528089888,0.375,0.21666666666666667,0.602167676123685,0.5172413793103449,0.33592518650835346,0.7294498381877023,0.5603540772532188,1.0,0.5829145728643216,0.3246753246753247,0.25,0.5,0.521996303142329,0.651113177542374,0.5538461541673846,0.9060255817255349,1,-1.609437912
0.1435989256938227,0.040159086764996445,0.39260392184044446,0.5072992700729927,0.5786516853932584,0.20833333333333334,0.25555555555555554,0.43481032833917754,0.5172413793103449,0.2183461174739939,0.3932038834951456,0.35354077253218885,1.0,0.44221105527638194,0.2987012987012987,0.0,0.5,0.5009242144177449,0.9346197697696496,0.4846153849400769,0.7491393250459902,1,-1.609437912
0.1593554162936437,0.2835039150022317,0.1358537768483437,0.18613138686131386,0.42134831460674155,0.46944444444444444,0.4361111111111111,0.16990755498884286,0.25287356321839083,0.25648838919827677,0.19449838187702265,0.16174892703862662,0.4861111111111111,0.32663316582914576,0.2597402597402597,0.0,0.0,0.24288354898336414,0.4288332929193242,2.9115384653234614e-22,0.0,0,-1.609437912
0.08361683079677706,0.8194599888134914,0.08824757415636905,0.16058394160583941,0.25842696629213485,0.041666666666666664,0.5527777777777778,0.11603442779725853,0.3448275862068966,0.2550173373962383,0.1407766990291262,0.1148068669527897,0.5444444444444444,0.22110552763819097,0.23376623376623376,0.25,0.0,0.14972273567467653,0.6524437790829846,2.68076923425423e-23,0.0,0,-1.609437912
0.30850492390331247,0.22428265750749973,0.15094056408719206,0.181021897810219,0.3539325842696629,0.37222222222222223,0.38333333333333336,0.18648390181702262,0.22988505747126436,0.2563833140695597,0.20485436893203884,0.1719420600858369,0.37222222222222223,0.6080402010050251,0.2987012987012987,0.0,0.0,0.17042513863216266,0.571166994062454,1.8500000024049999e-22,0.0,0,-1.609437912
0.29776186213070727,0.058735554833309694,0.19960255892637888,0.23613138686131388,0.398876404494382,0.19444444444444445,0.26944444444444443,0.23876314950589736,0.5402298850574713,0.2503940317326888,0.2459546925566343,0.20439914163090128,1.0,0.7135678391959799,0.35064935064935066,0.25,0.0,0.22624768946395563,0.9029056876084894,2.5807692341242306e-11,0.0,1,-1.609437912
0.5434198746642793,0.04308367504176001,0.14511648976720312,0.2116788321167883,0.47191011235955055,0.16111111111111112,0.2361111111111111,0.18010838380618424,0.26436781609195403,0.2551224125249553,0.19967637540453073,0.16604077253218885,0.24722222222222223,0.21608040201005024,0.05194805194805195,0.0,0.0,0.20147874306839186,0.9296908743847314,2.3846153877153844e-21,0.0,0,-1.609437912
